Chamber ID	1	2	3	4	5	6	7	8	9	10
S01-A07	35362	35564	35744	35920	36080	36217	36365	36513	36659	36799
S02-A07	34780	34972	35150	35355	35483	35646	35811	35971	36083	36221
S03-A07	34292	34450	34639	34815	34995	35154	35312	35465	35614	35736
S04-A07	34602	34777	34966	35149	35304	35489	35625	35759	35903	36039
S05-A07	33782	33928	34137	34303	34463	34610	34763	34936	35053	35187
S06-A07	32619	32816	32991	33152	33343	33485	33653	33773	30031	25335
S07-A07	32827	33012	22010	33372	33530	33682	33845	26487	21845	14618
S08-A07	32086	30743	15601	31158	32772	23200	33089	31823	21772	10615
S09-A07	27161	19417	13309	15930	27951	16039	19954	16146	12963	11214
S10-A07	19945	24469	13774	17097	24718	17250	25010	13869	11563	12080
S11-A07	24702	28241	21561	21696	21866	21977	22097	22203	22278	22362
S12-A07	28041	30464	30186	30342	29831	29864	30133	30295	31096	30380
S01-A08	35988	36198	36372	36550	36707	36871	37014	37160	37310	37420
S02-A08	35737	35941	36129	36288	36438	36617	36785	36921	37060	37185
S03-A08	35251	35450	35666	35817	35991	36160	36303	36443	36557	36702
S04-A08	35428	35640	35795	35968	36141	36302	36464	36593	36743	36877
S05-A08	34572	34811	34976	35164	35305	35488	35632	35743	35881	36035
S06-A08	33349	33561	33737	33912	34097	34256	34419	34509	34664	34794
S07-A08	33903	24107	23518	24421	28656	23943	24833	24169	20365	16215
S08-A08	31624	19939	20067	20168	32468	16932	32797	17034	13506	11809
S09-A08	16938	17021	13790	16551	17248	25385	25514	13863	11572	12480
S10-A08	17626	17723	14369	14401	14450	14482	14517	12069	12043	12055
S11-A08	22225	22419	22574	22732	22911	23019	23150	23267	23338	23437
S12-A08	26915	31129	31315	31461	27003	30909	29959	30071	32178	31410
S01-A09	36658	36864	37033	37196	37366	37530	37658	37809	37952	38086
S02-A09	36327	36515	36696	36857	37024	37210	37383	37499	37659	37790
S03-A09	35721	35895	36094	36244	36426	36572	36717	36868	37015	37166
S04-A09	35767	35973	36165	36316	36475	36620	36759	36919	37050	37180
S05-A09	35147	35361	35523	35676	35844	36027	36192	36320	36453	36578
S06-A09	34122	34343	34521	34675	34848	35001	35158	35307	35441	35587
S07-A09	34460	24698	24857	34993	25161	24554	24681	24780	21522	17267
S08-A09	32550	20983	33003	21199	17820	26012	30461	17968	14761	11958
S09-A09	29297	15053	18074	26144	14645	12316	14703	12266	12221	12631
S10-A09	15612	15167	15214	15243	12812	12789	12786	12396	12366	12159
S11-A09	22850	23011	23166	23332	23501	23619	23752	23861	23964	24038
S12-A09	30425	29784	30816	30131	27982	29277	32260	31748	29653	31956
S01-A10	37164	37344	37528	37724	37882	38051	38219	38359	38503	38615
S02-A10	36695	36860	37089	37257	37437	37595	37739	37910	38048	38176
S03-A10	36243	36433	36637	36810	36987	37157	37343	37470	37602	37760
S04-A10	36646	36873	37078	37245	37405	37586	37706	37882	38014	38166
S05-A10	35527	35734	35935	36112	36314	36446	36623	36768	36923	37037
S06-A10	34498	34722	34906	35109	35282	35421	35596	35736	35893	36019
S07-A10	34918	35122	30181	35486	25727	21812	26004	26107	26872	22126
S08-A10	33392	21942	33808	22201	18032	18742	18793	31612	31753	14971
S09-A10	26156	26374	30375	15012	12608	12595	12553	12535	12497	10690
S10-A10	16056	15621	15659	15726	12778	12776	13148	12744	13112	10950
S11-A10	23521	23778	23947	24112	24286	24429	24562	24721	24808	24885
S12-A10	23741	31899	28530	30843	30965	31120	32239	30241	29187	31646
S01-A11	37662	37886	38081	38241	38428	38582	38759	38895	39056	39196
S02-A11	37399	37608	37830	38023	38183	38359	38542	38684	38818	38956
S03-A11	36803	37008	37200	37397	37583	37757	37936	38085	38239	38371
S04-A11	36977	37151	37363	37566	37709	37873	38035	38199	38313	38464
S05-A11	36061	36285	36482	36654	36819	36986	37153	37313	37444	37611
S06-A11	35039	35227	35426	35602	35782	35947	36119	36265	36440	36566
S07-A11	35457	30675	35849	36028	26420	36339	26722	36652	27537	22743
S08-A11	33768	34011	34153	27224	18383	19099	18521	19224	19262	19293
S09-A11	30633	19263	31101	18869	13152	15795	15835	15844	15859	13029
S10-A11	20035	16359	19641	16482	13306	13742	13739	13724	16685	13243
S11-A11	24022	24376	24543	24745	24901	25036	25187	25329	25429	25525
S12-A11	31024	31568	24371	32012	31780	31942	32879	33019	29787	32523
S01-A12	38138	38329	38524	38728	38928	39051	39239	39380	39525	39675
S02-A12	37636	37891	38077	38252	38450	38636	38779	38932	39087	39240
S03-A12	37178	37365	37577	37760	37939	38082	38258	38431	38597	38742
S04-A12	37548	37772	37964	38148	38335	38510	38672	38845	38958	39133
S05-A12	36631	36823	37018	37199	37379	37560	37741	37895	38032	38193
S06-A12	35399	35618	35805	36011	36190	36366	36555	36721	36874	37013
S07-A12	35746	35961	36155	31484	27380	36693	27686	27798	32784	37271
S08-A12	34502	23477	34946	23788	23210	24072	35691	24291	35993	24473
S09-A12	31508	24000	31982	24342	16377	16418	16462	29125	29261	29344
