Chamber ID	1	2	3	4	5	6	7	8	9	10
S01-A07	11183	11143	11086	11077	11062	11039	11002	10989	10954	10942
S02-A07	9278	9257	9223	9208	9203	9187	9164	9146	9135	9111
S03-A07	7131	7177	7156	7138	7136	7127	7111	7093	7092	7072
S04-A07	4991	4990	4971	4968	4967	4952	4947	4944	4941	4932
S05-A07	3774	3778	3769	3763	3767	3760	3761	3755	3756	3754
S06-A07	3196	3208	3201	3195	3198	3195	3194	3198	3195	3191
S07-A07	2951	2950	2947	2952	2951	2946	2949	2947	2889	2877
S08-A07	2802	2799	2813	2795	2809	2806	2801	2794	2772	2769
S09-A07	2762	2764	2762	2763	2760	2767	2765	2760	2760	2762
S10-A07	2634	2621	2632	2634	2635	2630	2634	2635	2632	2629
S11-A07	2376	2372	2388	2390	2390	2387	2388	2389	2384	2390
S12-A07	2142	2142	2142	2141	2142	2141	2141	2141	2139	2141
S01-A08	11253	11219	11183	11145	11132	11106	11085	11051	11045	11011
S02-A08	9368	9398	9372	9351	9340	9310	9291	9283	9264	9255
S03-A08	7253	7273	7253	7237	7232	7225	7213	7208	7185	7173
S04-A08	5070	5068	5050	5042	5041	5044	5033	5030	5011	5014
S05-A08	3844	3845	3835	3837	3831	3832	3829	3831	3822	3819
S06-A08	3257	3265	3266	3267	3265	3264	3259	3256	3255	3221
S07-A08	3019	2983	3013	2982	3014	2982	2979	2976	2952	2951
S08-A08	2857	2871	2858	2873	2862	2864	2851	2868	2850	2822
S09-A08	2812	2808	2814	2804	2812	2811	2810	2812	2807	2806
S10-A08	2671	2672	2670	2672	2669	2666	2671	2671	2669	2668
S11-A08	2392	2397	2394	2397	2396	2395	2395	2397	2392	2397
S12-A08	2140	2141	2143	2142	2141	2140	2141	2140	2140	2142
S01-A09	11430	11407	11344	11326	11322	11292	11273	11239	11220	11203
S02-A09	9478	9507	9465	9455	9438	9421	9406	9398	9379	9351
S03-A09	7306	7309	7286	7276	7273	7260	7249	7227	7215	7202
S04-A09	5122	5106	5096	5091	5089	5080	5074	5067	5065	5048
S05-A09	3892	3893	3889	3887	3890	3878	3882	3874	3871	3870
S06-A09	3306	3314	3312	3310	3309	3302	3306	3303	3297	3268
S07-A09	3035	3031	3051	3003	3054	3002	3051	3000	3051	2997
S08-A09	2912	2915	2908	2893	2910	2878	2894	2900	2896	2866
S09-A09	2860	2865	2866	2867	2861	2864	2862	2862	2860	2859
S10-A09	2717	2722	2725	2717	2718	2715	2720	2715	2715	2716
S11-A09	2412	2417	2407	2409	2407	2409	2410	2408	2407	2409
S12-A09	2145	2141	2145	2142	2143	2141	2144	2146	2139	2145
