Chamber ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60
S01-A07	39343	39695	40001	40401	40691	40984	41268	41539	41816	42058	42254	42491	42717	42905	43107	43267	43461	43636	43788	43894	44042	44210	44267	44419	44531	44647	44760	44854	44921	45033	45101	45170	45205	45290	45312	45363	45387	45421	45454	45465	45539	45513	45581	45626	45608	45645	45645	45678	45675	45676	45682	45680	45676	45689	45664	45635	45640	45628	45633	45627
S02-A07	40852	41214	41503	41869	42182	42531	42801	43073	43348	43567	43812	44036	44244	44457	44663	44831	45015	45155	45351	45518	45588	45707	45834	45963	46043	46135	46251	46335	46397	46442	46530	46593	46639	46677	46730	46778	46783	46805	46875	46888	46904	46933	46978	46961	46984	47016	47008	47012	47024	47024	47042	47030	46991	47011	46982	46978	46979	46943	46950	46911
S03-A07	41529	41908	42209	42507	42849	43134	43421	43718	43956	44215	44425	44661	44851	45084	45278	45437	45640	45796	45941	46084	46236	46343	46451	46565	46671	46790	46900	46983	47064	47115	47194	47255	47280	47355	47410	47439	47466	47499	47510	47543	47587	47596	47630	47644	47659	47680	47689	47691	47678	47699	47691	47691	47678	47679	47693	47655	47641	47632	47598	47586
S04-A07	42219	42550	42881	43237	43521	43830	44102	44387	44623	44879	45140	45424	45643	45862	46045	46232	46399	46556	46704	46852	46978	47093	47206	47337	47412	47513	47601	47664	47770	47790	47878	47900	47955	48000	48044	48084	48102	48134	48175	48196	48201	48266	48244	48262	48286	48296	48312	48305	48315	48322	48315	48311	48287	48275	48289	48245	48245	48223	48205	48209
S05-A07	42276	42635	43042	43361	43679	43983	44233	44520	44772	44996	45254	45462	45691	45887	46071	46243	46434	46554	46689	46828	46933	47066	47149	47260	47330	47412	47476	47520	47600	47656	47718	47749	47815	47841	47878	47929	47948	47983	48020	48038	48055	48087	48089	48091	48122	48118	48135	48145	48189	48197	48177	48099	48169	48166	48090	48094	48116	48086	48079	48074
S06-A07	42533	42875	43219	43535	43812	44093	44410	44679	44947	45172	45412	45625	45823	46026	46212	46402	46582	46717	46895	47025	47114	47253	47336	47440	47542	47620	47694	47764	47825	47889	47928	47978	48015	48072	48111	48127	48147	48191	48245	48216	48264	48284	48285	48326	48322	48334	48335	48330	48352	48335	48332	48323	48312	48301	48320	48278	48247	48264	48231	48213
S07-A07	41908	42259	42637	42952	43274	43576	43886	44143	44439	44693	44918	45175	45379	45580	45743	45942	46120	46286	46451	46601	46718	46876	46997	47129	47202	47302	47381	47467	47497	47588	47636	47674	47734	47771	47824	47857	47892	47936	47947	47956	48011	48008	48032	48052	48078	48075	48089	48104	48076	48087	48088	48059	48058	48076	48070	48024	48023	47992	47977	47961
S08-A07	41852	42289	42658	42954	43285	43567	43856	44129	44368	44639	44873	45082	45295	45502	45727	45877	46038	46185	46356	46489	46601	46681	46873	46964	47052	47111	47207	47320	47391	47451	47520	47546	47613	47640	47714	47727	47768	47810	47765	47789	47882	47911	47929	47943	47938	47966	47954	47958	47975	47961	47981	47968	47934	47930	47943	47928	47908	47885	47876	47870
S09-A07	41652	41981	42348	42671	42984	43265	43516	43791	44057	44290	44517	44728	44944	45168	45325	45520	45716	45862	46005	46130	46296	46403	46585	46701	46812	46880	46957	47051	47135	47243	47306	47360	47384	47458	47458	47516	47536	47527	47642	47661	47670	47724	47711	47725	47764	47742	47750	47758	47778	47766	47753	47751	47738	47727	47725	47714	47714	47664	47656	47640
S10-A07	41900	42265	42607	42911	43340	43693	43965	44257	44516	44794	44999	45258	45459	45679	45883	46039	46238	46413	46545	46664	46840	46930	47060	47116	47223	47327	47374	47452	47488	47567	47625	47703	47725	47784	47817	47825	47873	47907	47950	47960	47995	48013	48022	48045	48038	48053	48067	48066	48052	48043	48051	48033	48008	47996	47989	47977	47957	47967	47937	47909
