Chip Run Info,D:\1530024086_160719\Array 4\ChipRun.bml,1530024086,FLEXsix [Array 4],Enzyme-Substrate Kinetics Oct18,ROX,FAM-MGB,16/07/2019 10:33:43,00:31:13,BIOMARKHD405,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.5.2
Application Build,20180628.1231
Export Type,Table Results with Raw Data
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold
S01-A06,S01,Unknown,1,A06,Test,999,0,Flag,0.1
S02-A06,S02,Unknown,1,A06,Test,999,0,Flag,0.1
S03-A06,S03,Unknown,1,A06,Test,999,0,Flag,0.1
S04-A06,S04,Unknown,1,A06,Test,999,0,Flag,0.1
S05-A06,S05,Unknown,1,A06,Test,999,0,Flag,0.1
S06-A06,S06,Unknown,1,A06,Test,999,0,Flag,0.1
S07-A06,S07,Unknown,1,A06,Test,2.94925286331379,0.214638154110685,Flag,0.1
S08-A06,S08,Unknown,1,A06,Test,999,0,Flag,0.1
S09-A06,S09,Unknown,1,A06,Test,10.5,0.03,Flag,0.1
S10-A06,S10,Unknown,1,A06,Test,11.5,1,Pass,0.1
S11-A06,S11,Unknown,1,A06,Test,53.5,0.08,Flag,0.1
S12-A06,S12,Unknown,1,A06,Test,3.5,0,Flag,0.1
S01-A05,S01,Unknown,1,A05,Test,999,0,Flag,0.1
S02-A05,S02,Unknown,1,A05,Test,999,0,Flag,0.1
S03-A05,S03,Unknown,1,A05,Test,999,0,Flag,0.1
S04-A05,S04,Unknown,1,A05,Test,999,0,Flag,0.1
S05-A05,S05,Unknown,1,A05,Test,2.5,0.138358518567309,Flag,0.1
S06-A05,S06,Unknown,1,A05,Test,2.5,0.0994141873089919,Flag,0.1
S07-A05,S07,Unknown,1,A05,Test,999,0,Flag,0.1
S08-A05,S08,Unknown,1,A05,Test,999,0,Flag,0.1
S09-A05,S09,Unknown,1,A05,Test,10.5,0.11,Flag,0.1
S10-A05,S10,Unknown,1,A05,Test,53.5,0.14,Flag,0.1
S11-A05,S11,Unknown,1,A05,Test,2.5,0.07,Flag,0.1
S12-A05,S12,Unknown,1,A05,Test,23.5,0,Flag,0.1
S01-A04,S01,Unknown,1,A04,Test,999,0,Flag,0.1
S02-A04,S02,Unknown,1,A04,Test,999,0,Flag,0.1
S03-A04,S03,Unknown,1,A04,Test,999,0,Flag,0.1
S04-A04,S04,Unknown,1,A04,Test,999,0,Flag,0.1
S05-A04,S05,Unknown,1,A04,Test,2.5,0.14610466134062,Flag,0.1
S06-A04,S06,Unknown,1,A04,Test,999,0,Flag,0.1
S07-A04,S07,Unknown,1,A04,Test,2.5,-0.0117722196330245,Flag,0.1
S08-A04,S08,Unknown,1,A04,Test,2.5,0.0915649623583917,Flag,0.1
S09-A04,S09,Unknown,1,A04,Test,999,0,Flag,0.1
S10-A04,S10,Unknown,1,A04,Test,51.5,0.14,Flag,0.1
S11-A04,S11,Unknown,1,A04,Test,999,0,Flag,0.1
S12-A04,S12,Unknown,1,A04,Test,6.5,0,Flag,0.1
S01-A03,S01,Unknown,1,A03,Test,999,0,Flag,0.1
S02-A03,S02,Unknown,1,A03,Test,999,0,Flag,0.1
S03-A03,S03,Unknown,1,A03,Test,999,0,Flag,0.1
S04-A03,S04,Unknown,1,A03,Test,999,0,Flag,0.1
S05-A03,S05,Unknown,1,A03,Test,999,0,Flag,0.1
S06-A03,S06,Unknown,1,A03,Test,999,0,Flag,0.1
S07-A03,S07,Unknown,1,A03,Test,2.5,0.0150095800321064,Flag,0.1
S08-A03,S08,Unknown,1,A03,Test,5.5,0.994998352220442,Pass,0.1
S09-A03,S09,Unknown,1,A03,Test,2.5,0.03,Flag,0.1
S10-A03,S10,Unknown,1,A03,Test,18.5,0.882352941176471,Pass,0.1
S11-A03,S11,Unknown,1,A03,Test,30.5,0.14,Flag,0.1
S12-A03,S12,Unknown,1,A03,Test,17.5,0,Flag,0.1
S01-A02,S01,Unknown,1,A02,Test,999,0,Flag,0.1
S02-A02,S02,Unknown,1,A02,Test,999,0,Flag,0.1
S03-A02,S03,Unknown,1,A02,Test,999,0,Flag,0.1
S04-A02,S04,Unknown,1,A02,Test,999,0,Flag,0.1
S05-A02,S05,Unknown,1,A02,Test,2.5,0.0815963873807819,Flag,0.1
S06-A02,S06,Unknown,1,A02,Test,2.97092919889506,0.14,Flag,0.1
S07-A02,S07,Unknown,1,A02,Test,2.5,0.0609438111905121,Flag,0.1
S08-A02,S08,Unknown,1,A02,Test,2.5,0,Flag,0.1
S09-A02,S09,Unknown,1,A02,Test,2.5,0,Flag,0.1
S10-A02,S10,Unknown,1,A02,Test,2.5,0,Flag,0.1
S11-A02,S11,Unknown,1,A02,Test,4.5,0,Flag,0.1
S12-A02,S12,Unknown,1,A02,Test,14.5,0,Flag,0.1
S01-A01,S01,Unknown,1,A01,Test,999,0,Flag,0.1
S02-A01,S02,Unknown,1,A01,Test,999,0,Flag,0.1
S03-A01,S03,Unknown,1,A01,Test,999,0,Flag,0.1
S04-A01,S04,Unknown,1,A01,Test,999,0,Flag,0.1
S05-A01,S05,Unknown,1,A01,Test,21.5,0.965679586684234,Pass,0.1
S06-A01,S06,Unknown,1,A01,Test,2.5,0.087913762212058,Flag,0.1
S07-A01,S07,Unknown,1,A01,Test,2.5,0.109773823103465,Flag,0.1
S08-A01,S08,Unknown,1,A01,Test,2.5,0,Flag,0.1
S09-A01,S09,Unknown,1,A01,Test,2.5,0,Flag,0.1
S10-A01,S10,Unknown,1,A01,Test,8.15175186886968,0,Flag,0.1
S11-A01,S11,Unknown,1,A01,Test,4.5,0,Flag,0.1
S12-A01,S12,Unknown,1,A01,Test,5.5,0,Flag,0.1
S01-A12,S01,Unknown,1,A12,Test,999,0,Flag,0.1
S02-A12,S02,Unknown,1,A12,Test,999,0,Flag,0.1
S03-A12,S03,Unknown,1,A12,Test,999,0,Flag,0.1
S04-A12,S04,Unknown,1,A12,Test,999,0,Flag,0.1
S05-A12,S05,Unknown,1,A12,Test,31.3187268819055,0.960227577412991,Pass,0.1
S06-A12,S06,Unknown,1,A12,Test,2.99999187346165,0.275744901630501,Flag,0.1
S07-A12,S07,Unknown,1,A12,Test,2.5,0,Flag,0.1
S08-A12,S08,Unknown,1,A12,Test,2.5,0.10958952708895,Flag,0.1
S09-A12,S09,Unknown,1,A12,Test,2.5,0,Flag,0.1
S10-A12,S10,Unknown,1,A12,Test,2.5,0,Flag,0.1
S11-A12,S11,Unknown,1,A12,Test,7.5,0,Flag,0.1
S12-A12,S12,Unknown,1,A12,Test,4.5,0.833333333333333,Pass,0.1
S01-A11,S01,Unknown,1,A11,Test,999,0,Flag,0.1
S02-A11,S02,Unknown,1,A11,Test,999,0,Flag,0.1
S03-A11,S03,Unknown,1,A11,Test,999,0,Flag,0.1
S04-A11,S04,Unknown,1,A11,Test,999,0,Flag,0.1
S05-A11,S05,Unknown,1,A11,Test,21.7014087497526,0.937164140104181,Pass,0.1
S06-A11,S06,Unknown,1,A11,Test,27.3797209646718,0,Flag,0.1
S07-A11,S07,Unknown,1,A11,Test,16.2414101629569,0,Flag,0.1
S08-A11,S08,Unknown,1,A11,Test,3.5,0,Flag,0.1
S09-A11,S09,Unknown,1,A11,Test,2.5,0,Flag,0.1
S10-A11,S10,Unknown,1,A11,Test,999,0,Flag,0.1
S11-A11,S11,Unknown,1,A11,Test,3.5,0,Flag,0.1
S12-A11,S12,Unknown,1,A11,Test,26.5,0.781989118091151,Pass,0.1
S01-A10,S01,Unknown,1,A10,Test,999,0,Flag,0.1
S02-A10,S02,Unknown,1,A10,Test,999,0,Flag,0.1
S03-A10,S03,Unknown,1,A10,Test,999,0,Flag,0.1
S04-A10,S04,Unknown,1,A10,Test,999,0,Flag,0.1
S05-A10,S05,Unknown,1,A10,Test,999,0,Flag,0.1
S06-A10,S06,Unknown,1,A10,Test,9.5,0.0900574801926373,Flag,0.1
S07-A10,S07,Unknown,1,A10,Test,999,0,Flag,0.1
S08-A10,S08,Unknown,1,A10,Test,999,0,Flag,0.1
S09-A10,S09,Unknown,1,A10,Test,41.5,0,Flag,0.1
S10-A10,S10,Unknown,1,A10,Test,999,0,Flag,0.1
S11-A10,S11,Unknown,1,A10,Test,2.5,0,Flag,0.1
S12-A10,S12,Unknown,1,A10,Test,2.5,0.145279172733481,Flag,0.1
S01-A09,S01,Unknown,1,A09,Test,999,0,Flag,0.1
S02-A09,S02,Unknown,1,A09,Test,999,0,Flag,0.1
S03-A09,S03,Unknown,1,A09,Test,999,0,Flag,0.1
S04-A09,S04,Unknown,1,A09,Test,999,0,Flag,0.1
S05-A09,S05,Unknown,1,A09,Test,999,0,Flag,0.1
S06-A09,S06,Unknown,1,A09,Test,2.5,0.130925348987322,Flag,0.1
S07-A09,S07,Unknown,1,A09,Test,2.9333506996603,0.000143202607935425,Flag,0.1
S08-A09,S08,Unknown,1,A09,Test,999,0,Flag,0.1
S09-A09,S09,Unknown,1,A09,Test,2.5,0.115869889570992,Flag,0.1
S10-A09,S10,Unknown,1,A09,Test,15.5,0,Flag,0.1
S11-A09,S11,Unknown,1,A09,Test,53.5,0.1,Flag,0.1
S12-A09,S12,Unknown,1,A09,Test,999,0,Flag,0.1
S01-A08,S01,Unknown,1,A08,Test,999,0,Flag,0.1
S02-A08,S02,Unknown,1,A08,Test,999,0,Flag,0.1
S03-A08,S03,Unknown,1,A08,Test,999,0,Flag,0.1
S04-A08,S04,Unknown,1,A08,Test,999,0,Flag,0.1
S05-A08,S05,Unknown,1,A08,Test,999,0,Flag,0.1
S06-A08,S06,Unknown,1,A08,Test,2.5,0.1,Flag,0.1
S07-A08,S07,Unknown,1,A08,Test,57.5,1,Pass,0.1
S08-A08,S08,Unknown,1,A08,Test,2.5,0,Flag,0.1
S09-A08,S09,Unknown,1,A08,Test,13.5,0.962382751575237,Pass,0.1
S10-A08,S10,Unknown,1,A08,Test,2.5,0,Flag,0.1
S11-A08,S11,Unknown,1,A08,Test,6.5,0,Flag,0.1
S12-A08,S12,Unknown,1,A08,Test,12.5,0,Flag,0.1
S01-A07,S01,Unknown,1,A07,Test,999,0,Flag,0.1
S02-A07,S02,Unknown,1,A07,Test,999,0,Flag,0.1
S03-A07,S03,Unknown,1,A07,Test,999,0,Flag,0.1
S04-A07,S04,Unknown,1,A07,Test,999,0,Flag,0.1
S05-A07,S05,Unknown,1,A07,Test,22.2631157903661,1,Pass,0.1
S06-A07,S06,Unknown,1,A07,Test,21.1382826659969,1,Pass,0.1
S07-A07,S07,Unknown,1,A07,Test,2.5,0,Flag,0.1
S08-A07,S08,Unknown,1,A07,Test,2.5,0,Flag,0.1
S09-A07,S09,Unknown,1,A07,Test,2.95229515185783,0,Flag,0.1
S10-A07,S10,Unknown,1,A07,Test,2.5,0,Flag,0.1
S11-A07,S11,Unknown,1,A07,Test,2.5,0,Flag,0.1
S12-A07,S12,Unknown,1,A07,Test,16.5,0,Flag,0.1

Dose Meter Reading Data
Cycle Number, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60,
ROX,18324,18325,18330,18330,18331,18328,18327,18330,18329,18327,18327,18326,18327,18324,18325,18324,18325,18324,18323,18324,18323,18321,18322,18321,18322,18321,18322,18323,18323,18324,18324,18324,18323,18323,18324,18325,18325,18327,18323,18324,18323,18322,18322,18321,18319,18319,18318,18317,18317,18316,18318,18317,18317,18318,18318,18320,18319,18317,18317,18317
FAM-MGB,473058,472863,472748,472706,472665,472581,472489,472462,472428,472358,472277,472218,472191,472136,472085,472054,472023,471964,471924,471925,471869,471820,471832,471826,471865,471870,471901,471883,471903,471896,471896,471895,471918,471900,471879,471815,471785,471750,471733,471706,471682,471627,471556,471520,471478,471442,471392,471355,471356,471343,471410,471386,471368,471403,471439,471429,471432,471423,471444,471418

Raw Data for Passive Reference ROX
Chamber ID, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60,
S01-A07,12000,11997,11969,11928,11896,11859,11807,11790,11774,11740,11714,11687,11661,11656,11613,11600,11592,11570,11572,11562,11527,11509,11503,11473,11483,11470,11446,11441,11422,11418,11409,11392,11368,11371,11361,11373,11368,11336,11351,11350,11337,11349,11328,11321,11324,11297,11306,11311,11305,11288,11291,11283,11272,11271,11257,11257,11278,11260,11246,11273,
S02-A07,8236,8231,8225,8189,8173,8157,8134,8129,8111,8094,8076,8063,8054,8047,8033,8020,8016,7999,7993,7991,7973,7968,7960,7947,7957,7943,7937,7928,7917,7914,7911,7906,7889,7898,7893,7886,7881,7880,7882,7883,7888,7872,7857,7870,7859,7853,7864,7864,7847,7838,7850,7851,7838,7836,7828,7837,7839,7836,7823,7845,
S03-A07,5421,5445,5434,5427,5414,5407,5391,5391,5378,5381,5364,5358,5355,5355,5338,5340,5337,5329,5321,5317,5314,5307,5303,5308,5300,5295,5294,5289,5292,5283,5277,5279,5270,5272,5268,5274,5267,5268,5266,5268,5278,5264,5266,5272,5273,5262,5262,5271,5265,5268,5265,5263,5264,5254,5261,5260,5256,5262,5257,5262,
S04-A07,3804,3801,3805,3802,3801,3798,3791,3794,3789,3796,3793,3789,3788,3792,3786,3785,3783,3779,3783,3779,3784,3780,3777,3775,3777,3778,3772,3772,3775,3772,3773,3776,3771,3773,3770,3775,3780,3777,3774,3778,3777,3775,3778,3782,3777,3780,3782,3785,3786,3786,3785,3790,3786,3787,3790,3794,3792,3797,3796,3799,
S05-A07,3192,3198,3199,3206,3209,3211,3217,3231,3227,3242,3249,3247,3252,3258,3261,3265,3268,3270,3267,3276,3283,3280,3280,3272,3259,3249,3249,3245,3244,3243,3239,3244,3236,3237,3236,3242,3242,3242,3241,3247,3240,3244,3233,3240,3242,3247,3247,3251,3248,3247,3248,3255,3253,3252,3254,3256,3258,3264,3260,3264,
S06-A07,2975,2988,3000,3002,2990,3000,3012,3025,3038,3048,3065,3075,3086,3101,3110,3120,3130,3137,3148,3156,3168,3171,3176,3179,3170,3163,3153,3144,3138,3134,3130,3129,3130,3132,3130,3133,3129,3133,3135,3141,3135,3134,3135,3140,3138,3141,3148,3147,3152,3149,3152,3156,3154,3163,3164,3165,3163,3169,3172,3171,
S07-A07,2867,2890,2913,2899,2870,2879,2899,2918,2928,2950,2963,2977,2992,3009,3025,3036,3044,3039,3042,3049,3063,3072,3077,3082,3097,3099,3096,3093,3095,3090,3095,3092,3097,3100,3092,3097,3102,3099,3104,3105,3098,3101,3100,3106,3105,3107,3113,3114,3113,3116,3114,3123,3118,3123,3124,3133,3130,3134,3135,3136,
