Chip Run Info,D:\1530024086_resorufin\Array 5\ChipRun.bml,1530024086,FLEXsix [Array 5],Enzyme-Substrate Kinetics Oct18,ROX,FAM-MGB,16/07/2019 17:35:16,00:05:18,BIOMARKHD405,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.5.2
Application Build,20180628.1231
Export Type,Table Results with Raw Data
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold
S01-A06,S01,Unknown,1,A06,Test,999,0,Flag,0.249439261142203
S02-A06,S02,Unknown,1,A06,Test,999,0,Flag,0.249439261142203
S03-A06,S03,Unknown,1,A06,Test,999,0,Flag,0.249439261142203
S04-A06,S04,Unknown,1,A06,Test,999,0,Flag,0.249439261142203
S05-A06,S05,Unknown,1,A06,Test,999,0,Flag,0.249439261142203
S06-A06,S06,Unknown,1,A06,Test,999,0,Flag,0.249439261142203
S07-A06,S07,Unknown,1,A06,Test,999,0,Flag,0.249439261142203
S08-A06,S08,Unknown,1,A06,Test,999,0,Flag,0.249439261142203
S09-A06,S09,Unknown,1,A06,Test,8.86631347438352,0,Flag,0.249439261142203
S10-A06,S10,Unknown,1,A06,Test,3.97794867048649,0.586724138570856,Flag,0.249439261142203
S11-A06,S11,Unknown,1,A06,Test,999,0,Flag,0.249439261142203
S12-A06,S12,Unknown,1,A06,Test,999,0,Flag,0.249439261142203
S01-A05,S01,Unknown,1,A05,Test,999,0,Flag,0.249439261142203
S02-A05,S02,Unknown,1,A05,Test,999,0,Flag,0.249439261142203
S03-A05,S03,Unknown,1,A05,Test,999,0,Flag,0.249439261142203
S04-A05,S04,Unknown,1,A05,Test,999,0,Flag,0.249439261142203
S05-A05,S05,Unknown,1,A05,Test,999,0,Flag,0.249439261142203
S06-A05,S06,Unknown,1,A05,Test,999,0,Flag,0.249439261142203
S07-A05,S07,Unknown,1,A05,Test,999,0,Flag,0.249439261142203
S08-A05,S08,Unknown,1,A05,Test,999,0,Flag,0.249439261142203
S09-A05,S09,Unknown,1,A05,Test,999,0,Flag,0.249439261142203
S10-A05,S10,Unknown,1,A05,Test,999,0,Flag,0.249439261142203
S11-A05,S11,Unknown,1,A05,Test,4.26201916291434,0,Flag,0.249439261142203
S12-A05,S12,Unknown,1,A05,Test,999,0,Flag,0.249439261142203
S01-A04,S01,Unknown,1,A04,Test,999,0,Flag,0.249439261142203
S02-A04,S02,Unknown,1,A04,Test,999,0,Flag,0.249439261142203
S03-A04,S03,Unknown,1,A04,Test,999,0,Flag,0.249439261142203
S04-A04,S04,Unknown,1,A04,Test,999,0,Flag,0.249439261142203
S05-A04,S05,Unknown,1,A04,Test,999,0,Flag,0.249439261142203
S06-A04,S06,Unknown,1,A04,Test,999,0,Flag,0.249439261142203
S07-A04,S07,Unknown,1,A04,Test,999,0,Flag,0.249439261142203
S08-A04,S08,Unknown,1,A04,Test,999,0,Flag,0.249439261142203
S09-A04,S09,Unknown,1,A04,Test,6.27021820017506,0.594890200064095,Flag,0.249439261142203
S10-A04,S10,Unknown,1,A04,Test,4.66820014631173,0.375910375909718,Flag,0.249439261142203
S11-A04,S11,Unknown,1,A04,Test,4.5,0,Flag,0.249439261142203
S12-A04,S12,Unknown,1,A04,Test,999,0,Flag,0.249439261142203
S01-A03,S01,Unknown,1,A03,Test,999,0,Flag,0.249439261142203
S02-A03,S02,Unknown,1,A03,Test,999,0,Flag,0.249439261142203
S03-A03,S03,Unknown,1,A03,Test,999,0,Flag,0.249439261142203
S04-A03,S04,Unknown,1,A03,Test,999,0,Flag,0.249439261142203
S05-A03,S05,Unknown,1,A03,Test,999,0,Flag,0.249439261142203
S06-A03,S06,Unknown,1,A03,Test,999,0,Flag,0.249439261142203
S07-A03,S07,Unknown,1,A03,Test,999,0,Flag,0.249439261142203
S08-A03,S08,Unknown,1,A03,Test,999,0,Flag,0.249439261142203
S09-A03,S09,Unknown,1,A03,Test,999,0,Flag,0.249439261142203
S10-A03,S10,Unknown,1,A03,Test,4.10759008743161,0.227059747044394,Flag,0.249439261142203
S11-A03,S11,Unknown,1,A03,Test,999,0,Flag,0.249439261142203
S12-A03,S12,Unknown,1,A03,Test,2.5,0,Flag,0.249439261142203
S01-A02,S01,Unknown,1,A02,Test,999,0,Flag,0.249439261142203
S02-A02,S02,Unknown,1,A02,Test,999,0,Flag,0.249439261142203
S03-A02,S03,Unknown,1,A02,Test,999,0,Flag,0.249439261142203
S04-A02,S04,Unknown,1,A02,Test,999,0,Flag,0.249439261142203
S05-A02,S05,Unknown,1,A02,Test,999,0,Flag,0.249439261142203
S06-A02,S06,Unknown,1,A02,Test,999,0,Flag,0.249439261142203
S07-A02,S07,Unknown,1,A02,Test,999,0,Flag,0.249439261142203
S08-A02,S08,Unknown,1,A02,Test,999,0,Flag,0.249439261142203
S09-A02,S09,Unknown,1,A02,Test,999,0,Flag,0.249439261142203
S10-A02,S10,Unknown,1,A02,Test,999,0,Flag,0.249439261142203
S11-A02,S11,Unknown,1,A02,Test,999,0,Flag,0.249439261142203
S12-A02,S12,Unknown,1,A02,Test,2.5,0,Flag,0.249439261142203
S01-A01,S01,Unknown,1,A01,Test,999,0,Flag,0.249439261142203
S02-A01,S02,Unknown,1,A01,Test,999,0,Flag,0.249439261142203
S03-A01,S03,Unknown,1,A01,Test,999,0,Flag,0.249439261142203
S04-A01,S04,Unknown,1,A01,Test,999,0,Flag,0.249439261142203
S05-A01,S05,Unknown,1,A01,Test,999,0,Flag,0.249439261142203
S06-A01,S06,Unknown,1,A01,Test,999,0,Flag,0.249439261142203
S07-A01,S07,Unknown,1,A01,Test,999,0,Flag,0.249439261142203
S08-A01,S08,Unknown,1,A01,Test,999,0,Flag,0.249439261142203
S09-A01,S09,Unknown,1,A01,Test,999,0,Flag,0.249439261142203
S10-A01,S10,Unknown,1,A01,Test,2.99744644688164,0.0560043742925963,Flag,0.249439261142203
S11-A01,S11,Unknown,1,A01,Test,3.5,0,Flag,0.249439261142203
S12-A01,S12,Unknown,1,A01,Test,999,0,Flag,0.249439261142203
S01-A12,S01,Unknown,1,A12,Test,999,0,Flag,0.249439261142203
S02-A12,S02,Unknown,1,A12,Test,999,0,Flag,0.249439261142203
S03-A12,S03,Unknown,1,A12,Test,999,0,Flag,0.249439261142203
S04-A12,S04,Unknown,1,A12,Test,999,0,Flag,0.249439261142203
S05-A12,S05,Unknown,1,A12,Test,999,0,Flag,0.249439261142203
S06-A12,S06,Unknown,1,A12,Test,999,0,Flag,0.249439261142203
S07-A12,S07,Unknown,1,A12,Test,999,0,Flag,0.249439261142203
S08-A12,S08,Unknown,1,A12,Test,999,0,Flag,0.249439261142203
S09-A12,S09,Unknown,1,A12,Test,999,0,Flag,0.249439261142203
S10-A12,S10,Unknown,1,A12,Test,2.5,0.0839727204461062,Flag,0.249439261142203
S11-A12,S11,Unknown,1,A12,Test,3.58154263768998,0,Flag,0.249439261142203
S12-A12,S12,Unknown,1,A12,Test,6.04501176796659,0,Flag,0.249439261142203
S01-A11,S01,Unknown,1,A11,Test,999,0,Flag,0.249439261142203
S02-A11,S02,Unknown,1,A11,Test,999,0,Flag,0.249439261142203
S03-A11,S03,Unknown,1,A11,Test,999,0,Flag,0.249439261142203
S04-A11,S04,Unknown,1,A11,Test,999,0,Flag,0.249439261142203
S05-A11,S05,Unknown,1,A11,Test,999,0,Flag,0.249439261142203
S06-A11,S06,Unknown,1,A11,Test,999,0,Flag,0.249439261142203
S07-A11,S07,Unknown,1,A11,Test,999,0,Flag,0.249439261142203
S08-A11,S08,Unknown,1,A11,Test,999,0,Flag,0.249439261142203
S09-A11,S09,Unknown,1,A11,Test,999,0,Flag,0.249439261142203
S10-A11,S10,Unknown,1,A11,Test,999,0,Flag,0.249439261142203
S11-A11,S11,Unknown,1,A11,Test,5.08259946711482,0,Flag,0.249439261142203
S12-A11,S12,Unknown,1,A11,Test,2.5,0,Flag,0.249439261142203
S01-A10,S01,Unknown,1,A10,Test,999,0,Flag,0.249439261142203
S02-A10,S02,Unknown,1,A10,Test,999,0,Flag,0.249439261142203
S03-A10,S03,Unknown,1,A10,Test,999,0,Flag,0.249439261142203
S04-A10,S04,Unknown,1,A10,Test,999,0,Flag,0.249439261142203
S05-A10,S05,Unknown,1,A10,Test,999,0,Flag,0.249439261142203
S06-A10,S06,Unknown,1,A10,Test,999,0,Flag,0.249439261142203
S07-A10,S07,Unknown,1,A10,Test,999,0,Flag,0.249439261142203
S08-A10,S08,Unknown,1,A10,Test,999,0,Flag,0.249439261142203
S09-A10,S09,Unknown,1,A10,Test,999,0,Flag,0.249439261142203
S10-A10,S10,Unknown,1,A10,Test,999,0,Flag,0.249439261142203
S11-A10,S11,Unknown,1,A10,Test,2.5,0,Flag,0.249439261142203
S12-A10,S12,Unknown,1,A10,Test,999,0,Flag,0.249439261142203
S01-A09,S01,Unknown,1,A09,Test,999,0,Flag,0.249439261142203
S02-A09,S02,Unknown,1,A09,Test,999,0,Flag,0.249439261142203
S03-A09,S03,Unknown,1,A09,Test,999,0,Flag,0.249439261142203
S04-A09,S04,Unknown,1,A09,Test,999,0,Flag,0.249439261142203
S05-A09,S05,Unknown,1,A09,Test,999,0,Flag,0.249439261142203
S06-A09,S06,Unknown,1,A09,Test,999,0,Flag,0.249439261142203
S07-A09,S07,Unknown,1,A09,Test,999,0,Flag,0.249439261142203
S08-A09,S08,Unknown,1,A09,Test,999,0,Flag,0.249439261142203
S09-A09,S09,Unknown,1,A09,Test,999,0,Flag,0.249439261142203
S10-A09,S10,Unknown,1,A09,Test,999,0,Flag,0.249439261142203
S11-A09,S11,Unknown,1,A09,Test,2.5,0,Flag,0.249439261142203
S12-A09,S12,Unknown,1,A09,Test,6.16420183941984,0.860677391180689,Pass,0.249439261142203
S01-A08,S01,Unknown,1,A08,Test,999,0,Flag,0.249439261142203
S02-A08,S02,Unknown,1,A08,Test,999,0,Flag,0.249439261142203
S03-A08,S03,Unknown,1,A08,Test,999,0,Flag,0.249439261142203
S04-A08,S04,Unknown,1,A08,Test,999,0,Flag,0.249439261142203
S05-A08,S05,Unknown,1,A08,Test,999,0,Flag,0.249439261142203
S06-A08,S06,Unknown,1,A08,Test,999,0,Flag,0.249439261142203
S07-A08,S07,Unknown,1,A08,Test,999,0,Flag,0.249439261142203
S08-A08,S08,Unknown,1,A08,Test,999,0,Flag,0.249439261142203
S09-A08,S09,Unknown,1,A08,Test,8.28822001980925,0,Flag,0.249439261142203
S10-A08,S10,Unknown,1,A08,Test,999,0,Flag,0.249439261142203
S11-A08,S11,Unknown,1,A08,Test,999,0,Flag,0.249439261142203
S12-A08,S12,Unknown,1,A08,Test,7.5,0,Flag,0.249439261142203
S01-A07,S01,Unknown,1,A07,Test,999,0,Flag,0.249439261142203
S02-A07,S02,Unknown,1,A07,Test,999,0,Flag,0.249439261142203
S03-A07,S03,Unknown,1,A07,Test,999,0,Flag,0.249439261142203
S04-A07,S04,Unknown,1,A07,Test,999,0,Flag,0.249439261142203
S05-A07,S05,Unknown,1,A07,Test,999,0,Flag,0.249439261142203
S06-A07,S06,Unknown,1,A07,Test,999,0,Flag,0.249439261142203
S07-A07,S07,Unknown,1,A07,Test,999,0,Flag,0.249439261142203
S08-A07,S08,Unknown,1,A07,Test,999,0,Flag,0.249439261142203
S09-A07,S09,Unknown,1,A07,Test,4.26791611397035,0.267518658685078,Flag,0.249439261142203
S10-A07,S10,Unknown,1,A07,Test,8.56265988780972,0,Flag,0.249439261142203
S11-A07,S11,Unknown,1,A07,Test,7.5,0,Flag,0.249439261142203
S12-A07,S12,Unknown,1,A07,Test,999,0,Flag,0.249439261142203

Dose Meter Reading Data
Cycle Number, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10,
ROX,18303,18302,18303,18304,18303,18301,18303,18301,18301,18300
FAM-MGB,471328,471192,471090,471021,470986,470905,470905,470848,470786,470800

Raw Data for Passive Reference ROX
Chamber ID, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10,
S01-A07,16436,16378,16291,16250,16240,16180,16129,16116,16071,16039,
S02-A07,15091,15054,14976,14952,14947,14897,14857,14827,14801,14751,
S03-A07,14045,14102,14035,14001,13987,13957,13925,13891,13878,13821,
S04-A07,12916,12888,12834,12811,12794,12776,12741,12703,12681,12649,
S05-A07,11279,11251,11214,11186,11173,11146,11125,11109,11088,11056,
S06-A07,8929,8931,8905,8886,8889,8867,8856,8833,8833,8802,
S07-A07,6442,6459,6441,6447,6434,6429,6428,6422,6415,6399,
S08-A07,4975,4965,4962,4962,4963,4961,4953,4952,4948,4949,
S09-A07,4107,4124,4118,4120,4116,4110,4119,4108,4107,4114,
S10-A07,3382,3368,3355,3360,3357,3351,3356,3357,3349,3350,
S11-A07,2742,2676,2726,2676,2718,2664,2722,2726,2717,2669,
S12-A07,2315,2317,2314,2315,2312,2313,2318,2317,2317,2317,
S01-A08,16740,16691,16606,16573,16545,16498,16461,16430,16384,16353,
S02-A08,15449,15438,15373,15324,15325,15274,15243,15214,15178,15133,
S03-A08,14504,14558,14498,14476,14451,14414,14377,14351,14307,14278,
S04-A08,13272,13261,13214,13190,13171,13141,13106,13080,13055,13024,
S05-A08,11603,11553,11531,11506,11488,11467,11444,11425,11392,11359,
S06-A08,9265,9269,9252,9226,9235,9212,9197,9190,9165,9151,
S07-A08,6703,6709,6697,6698,6700,6687,6680,6683,6678,6662,
S08-A08,5175,5171,5171,5166,5155,5163,5161,5164,5159,5159,
S09-A08,4236,4263,4256,4254,4261,4255,4251,4252,4253,4252,
S10-A08,3421,3409,3394,3396,3396,3390,3395,3393,3383,3393,
S11-A08,2707,2721,2658,2715,2650,2706,2657,2712,2655,2702,
S12-A08,2335,2338,2340,2338,2340,2337,2340,2337,2339,2339,
S01-A09,17136,17112,17033,16964,16959,16909,16860,16831,16766,16726,
S02-A09,15771,15728,15667,15621,15617,15562,15517,15479,15438,15385,
S03-A09,14701,14754,14686,14646,14622,14595,14550,14527,14482,14463,
S04-A09,13513,13530,13474,13434,13418,13387,13352,13309,13284,13239,
S05-A09,11863,11841,11797,11772,11757,11734,11701,11669,11643,11609,
S06-A09,9646,9650,9619,9595,9586,9579,9539,9534,9521,9494,
S07-A09,6823,6853,6837,6830,6825,6811,6800,6791,6786,6769,
S08-A09,5247,5244,5243,5226,5232,5221,5223,5214,5208,5209,
S09-A09,4284,4315,4293,4304,4290,4280,4288,4284,4270,4281,
S10-A09,3459,3444,3435,3434,3430,3432,3429,3436,3421,3431,
S11-A09,2687,2748,2685,2734,2676,2729,2684,2731,2678,2735,
S12-A09,2356,2355,2354,2355,2356,2352,2355,2356,2352,2353,
S01-A10,16337,16258,16171,16127,16098,16044,15983,15935,15895,15857,
S02-A10,14932,14843,14790,14720,14711,14670,14607,14609,14555,14520,
S03-A10,14062,14048,13997,13944,13935,13884,13847,13833,13793,13758,
S04-A10,12895,12894,12846,12801,12783,12756,12723,12701,12665,12632,
S05-A10,11182,11156,11098,11071,11034,11002,10987,10965,10930,10899,
S06-A10,8977,8970,8935,8904,8905,8884,8857,8841,8824,8800,
S07-A10,6484,6499,6480,6470,6459,6447,6433,6426,6406,6394,
